date,county,region,fips,first_dose_administered,second_dose_administered,single_dose_administered,all_doses_administered,fully_vaccinated,booster_dose_administered,new_first_dose_administered,new_second_dose_administered,new_single_dose_administered,new_all_doses_administered,new_fully_vaccinated,new_booster_dose_administered,current_as_of
2020-12-18,Grant,6,18053,172,0,0,172,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Greene,7,18055,14,0,0,14,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Hamilton,5,18057,1142,4,0,1146,4,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Hancock,5,18059,140,0,0,140,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Harrison,9,18061,34,0,0,34,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Hendricks,5,18063,413,0,0,413,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Henry,6,18065,120,0,0,120,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Howard,6,18067,111,1,0,112,1,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Huntington,3,18069,26,0,0,26,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Jackson,8,18071,85,0,0,85,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Jasper,1,18073,21,0,0,21,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Jay,6,18075,9,0,0,9,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Jefferson,9,18077,30,0,0,30,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Jennings,9,18079,14,0,0,14,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Johnson,5,18081,140,0,0,140,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Knox,10,18083,171,0,0,171,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Kosciusko,2,18085,124,0,0,124,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,La Porte,1,18091,94,0,0,94,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
2020-12-18,Lagrange,3,18087,30,0,0,30,0,0,0,0,0,0,0,0,2021-10-19 05:00:00
